TOTAL,UK,JAPAN,SOUTH KOREA,CHINA,TAIWAN,AUSTRALIA,ARGENTINA,BRAZIL,COLOMBIA,VENEZUELA,ITALY,NETHERLANDS,SPAIN,SWEDEN,SWITZERLAND,FRANCE,GERMANY
"1,197,397","186,618","242,173","55,619","31,379","27,471","28,867","18,390","37,296","22,888","30,855","21,547","20,337","13,922","12,884","15,006","38,834","54,916"
"1,272,122","262,355","264,025","45,366","26,674","21,390","25,163","18,108","35,024","16,672","28,476","23,905","24,627","15,228","14,495","17,476","49,796","66,388"
"1,613,865","356,395","317,730","42,956","25,575","18,497","30,786","12,093","33,552","27,652","36,655","28,723","27,673","21,198","19,303","22,292","53,093","109,751"
"1,466,048","322,641","250,231","45,281","26,119","17,756","31,471","10,843","33,067","20,837","25,984","29,965","34,749","18,623","18,295","21,121","69,421","92,319"
"1,631,214","300,622","290,614","53,175","34,018","26,693","38,646","13,407","41,149","25,332","31,294","29,580","33,074","19,395","17,048","21,626","62,306","115,975"
"1,629,764","292,363","299,140","59,665","34,507","32,029","37,249","12,238","35,374","45,471","25,571","29,115","31,881","22,033","19,361","18,893","57,480","91,430"
"1,886,541","337,072","304,686","72,452","37,765","34,467","36,371","13,972","49,063","34,244","35,866","52,316","42,404","31,795","14,744","27,974","83,955","112,437"
"1,924,890","348,890","377,514","71,828","40,777","33,535","35,806","12,420","27,458","26,616","51,638","54,498","31,778","34,382","13,371","18,129","86,207","109,143"
"1,710,522","354,945","377,559","45,126","31,277","22,237","42,765","12,425","26,798","20,221","31,375","30,192","36,726","23,878","16,821","24,980","56,180","135,434"
"1,670,836","368,730","322,107","47,024","27,422","18,868","32,992","14,235","27,347","20,365","24,840","36,098","40,381","23,671","23,185","27,391","70,395","125,549"
"1,466,220","334,566","288,772","53,331","23,676","18,048","27,366","11,921","21,935","21,057","27,939","28,663","28,552","21,679","16,424","18,898","46,106","85,823"
"1,647,288","351,539","292,713","46,874","21,785","17,041","39,648","14,606","37,031","40,084","45,420","41,558","32,185","23,716","18,225","20,154","60,487","90,691"
"1,259,378","209,558","261,472","59,768","31,710","29,945","33,572","12,726","32,919","19,878","23,717","27,757","22,203","17,248","14,675","13,272","42,766","62,067"
"1,239,906","280,113","271,259","41,851","21,010","16,304","24,312","10,728","23,083","13,282","16,471","25,276","24,871","16,215","15,941","14,240","56,074","71,263"
"1,247,049","297,324","242,016","38,819","17,348","14,003","25,128","9,671","20,722","16,257","17,124","24,527","25,239","17,273","15,660","16,135","47,048","85,230"
"1,268,054","356,120","148,093","33,606","11,478","9,451","27,971","9,279","20,107","20,882","20,660","22,837","27,855","18,529","16,988","19,024","57,646","98,438"
"1,367,854","315,473","178,809","51,088","12,539","10,091","37,381","13,018","27,401","21,886","21,432","25,213","30,682","18,093","16,518","18,952","51,689","108,187"
"1,414,428","297,853","201,672","60,734","17,188","17,450","34,072","11,713","29,280","34,581","17,920","28,354","30,699","22,201","19,617","16,577","49,254","84,948"
"1,775,897","349,289","253,542","76,537","27,057","31,270","36,426","15,749","39,446","30,979","22,530","41,132","45,553","29,834","16,362","26,609","78,412","111,065"
"1,831,482","348,382","330,588","74,105","34,064","32,492","35,403","14,799","27,919","23,252","36,192","65,243","29,560","38,038","13,188","17,147","79,134","113,109"
"1,694,798","370,997","352,027","46,099","28,653","23,449","42,939","14,567","29,240","20,291","23,062","34,077","37,160","27,565","17,264","23,250","53,100","128,970"
"1,684,173","398,175","310,002","41,765","23,755","19,930","32,720","14,233","31,096","18,766","21,699","37,390","41,159","26,470","25,558","24,582","63,466","128,404"
"1,524,376","351,727","296,776","44,904","24,039","17,416","31,455","12,053","24,600","20,758","21,813","32,120","27,471","24,090","18,697","19,449","48,479","94,310"
"1,718,818","361,101","323,426","48,297","22,597","17,198","44,319","12,183","43,132","39,447","41,803","44,707","31,238","28,475","20,918","20,805","61,819","94,221"
"1,318,071","231,688","284,835","63,341","31,078","30,878","38,686","13,251","36,252","17,253","18,651","28,846","23,686","18,844","16,168","13,985","43,746","67,115"
"1,378,393","299,807","303,007","47,191","21,312","17,137","30,631","13,259","29,157","14,433","19,527","27,959","29,043","20,060","18,929","15,420","58,846","79,924"
"1,576,072","375,462","315,737","43,664","25,641","18,813","34,120","12,654","24,980","19,074","18,980","33,497","29,826","23,827","22,190","18,070","52,227","116,394"
"1,690,321","424,449","262,969","40,831","22,821","18,747","40,651","14,559","28,262","21,624","25,149","31,970","38,550","30,702","24,791","24,021","74,521","118,414"
"1,700,588","334,067","295,093","52,600","27,603","27,498","51,591","16,169","30,233","24,365","23,064","32,584","39,332","24,603","21,478","21,583","62,951","137,929"
"1,756,533","330,182","312,904","62,410","29,650","33,418","51,111","13,492","33,116","41,491","21,898","37,992","30,996","29,379","24,782","19,381","61,588","99,741"
"2,056,954","407,519","321,397","70,805","31,183","37,292","44,169","18,599","44,333","34,336","30,746","50,029","55,527","31,968","19,134","28,512","94,504","120,862"
"1,969,876","367,814","375,392","66,825","34,075","33,019","43,398","13,452","26,801","23,690","39,154","75,736","34,005","39,982","14,670","17,146","87,323","124,321"
"1,790,264","396,669","366,883","48,594","28,525","26,488","55,727","13,359","28,986","19,155","26,713","34,082","38,877","27,695","19,599","22,673","55,481","135,710"
"1,745,540","403,749","318,308","40,976","25,572","21,130","40,750","14,405","35,082","19,347","25,778","36,302","41,678","28,423","28,635","25,553","68,981","132,438"
"1,556,348","358,824","294,637","39,303","24,246","16,581","37,586","11,782","24,990","21,350","29,926","33,473","30,847","23,681","21,161","18,433","51,721","94,820"
"1,783,297","372,507","296,458","50,055","24,173","16,683","51,535","12,745","42,542","39,253","50,699","48,335","32,505","34,268","22,721","18,409","63,385","92,236"
"1,421,543","251,760","297,043","68,439","32,062","26,574","43,983","15,243","43,666","16,895","19,364","33,289","26,196","19,943","19,552","14,402","49,330","73,575"
"1,447,900","312,758","306,482","47,573","28,734","22,622","31,625","15,061","31,898","14,304","18,978","29,271","28,400","20,745","21,768","16,431","66,555","92,485"
"1,809,585","425,232","330,898","45,616","27,691","19,953","41,461","14,127","31,766","25,799","28,145","39,437","29,847","36,324","30,734","21,058","57,402","131,354"
"1,724,361","392,895","278,239","48,850","27,084","20,233","42,562","14,734","35,762","18,884","23,110","42,498","40,671","27,327","26,348","23,245","95,695","111,917"
"1,815,562","336,738","307,783","60,066","36,673","27,701","55,791","19,023","41,604","25,308","24,901","38,738","43,323","26,722","23,356","22,172","71,814","147,637"
"1,893,062","332,836","322,308","68,844","37,656","35,135","56,832","15,402","39,275","43,876","22,941","46,977","35,751","34,182","30,502","19,968","70,130","106,137"
"2,216,786","392,248","336,460","80,141","41,388","43,614","48,722","22,594","61,726","38,837","30,191","61,395","57,755","42,154","21,234","32,137","110,297","139,843"
"2,045,389","353,318","369,235","80,891","43,460","36,030","46,671","14,537","33,303","26,026","43,122","91,189","35,706","48,492","15,750","18,137","94,161","128,484"
"1,942,971","411,818","376,017","53,737","36,831","27,299","65,182","16,648","37,717","22,103","31,053","38,054","40,888","32,153","23,529","23,458","64,409","148,395"
"1,870,696","419,261","332,630","50,346","34,849","22,481","45,111","15,188","42,352","22,602","23,291","39,996","43,470","30,411","32,125","27,197","77,901","141,249"
"1,591,261","347,205","308,046","43,692","28,833","16,797","43,496","11,375","29,597","23,766","27,395","35,608","31,259","26,158","21,947","18,628","56,382","94,663"
"1,899,412","368,888","318,765","56,898","30,119","20,447","60,337","14,933","56,707","46,998","47,824","49,094","35,384","41,029","23,685","19,897","64,572","99,791"
"1,504,459","237,886","313,689","75,034","41,491","33,945","46,880","18,640","55,981","21,592","20,262","30,825","25,963","21,542","19,255","15,593","46,503","79,940"
"1,376,271","290,851","281,550","48,303","25,027","16,849","32,030","18,304","38,553","15,407","19,206","25,395","26,598","21,644","19,413","14,643","52,233","81,822"
